식당명,Date,Map,Rate,사람,수식,식당 분류,주요 메뉴,지역-대분류,지역-소분류
거북이의 주방,2025-07-28,https://place.map.kakao.com/1401663204,🥄🥄🥄🥄,,서울 마포구 : 신촌,🍣일식,카레,서울 마포구,신촌
한솥도시락 서강대점,2025-08-22,https://place.map.kakao.com/1584071787,🥄🥄,,서울 마포구 : 대흥,🍚한식,도시락,서울 마포구,대흥
KFC 발산역점,2025-08-21,https://place.map.kakao.com/1725139526,🥄🥄,,서울 강서구 : 발산,🍔패스트푸드,햄버거,서울 강서구,발산
을밀대,2025-08-20,https://place.map.kakao.com/25048467,🥄🥄🥄,,서울 마포구 : 대흥,🍚한식,평양냉면,서울 마포구,대흥
스페샬나잇트 본점,2025-08-20,https://place.map.kakao.com/908159543,🥄🥄🥄🥄🥄,,서울 서대문구 : 신촌,🍺술집,일본식주점,서울 서대문구,신촌
프랭크버거 서강대점,2025-08-19,https://place.map.kakao.com/834184731,🥄🥄,,서울 마포구 : 신촌/대흥,🍔패스트푸드,햄버거,서울 마포구,신촌/대흥
맥도날드 연세대점,2025-08-18,https://place.map.kakao.com/18606733,🥄,,서울 서대문구 : 신촌,🍔패스트푸드,햄버거,서울 서대문구,신촌
복성각,2025-08-18,https://place.map.kakao.com/7892863,🥄🥄🥄🥄,,서울 서대문구 : 신촌,🍜중식,"자장면, 탕수육",서울 서대문구,신촌
오지오커피,2025-08-17,https://place.map.kakao.com/1631067502,🥄🥄🥄🥄,,서울 강서구 : 마곡,☕카페,"커피, 크루키",서울 강서구,마곡
마부자생삽겹살김치찌개,2025-08-17,https://place.map.kakao.com/143245596,🥄🥄🥄🥄🥄,,서울 강서구 : 마곡,🥩고기,삼겹살,서울 강서구,마곡
롯데리아 발산역점,2025-08-16,https://place.map.kakao.com/14490394,🥄🥄🥄,,서울 강서구 : 발산,🍔패스트푸드,햄버거,서울 강서구,발산
또보겠지떡볶이집 깐따비아점,2025-08-15,https://place.map.kakao.com/895272833,🥄🥄🥄🥄,,서울 마포구 : 홍대,🍙분식,떡볶이,서울 마포구,홍대
킹콩부대찌개 마포대흥오남매행복점,2025-08-14,https://place.map.kakao.com/1744462722,🥄🥄,,서울 마포구 : 신촌/대흥,🍚한식,부대찌개,서울 마포구,신촌/대흥
오토김밥 공덕점,2025-08-14,https://place.map.kakao.com/1163187809,🥄🥄🥄🥄,,서울 마포구 : 공덕,🍚한식,"김밥, 닭강정",서울 마포구,공덕
화육계,2025-08-13,https://place.map.kakao.com/345283033,🥄🥄🥄🥄,,서울 중구 : 을지로,"🍚한식, 🥩고기",닭발,서울 중구,을지로
해운대 달맞이 빵,2025-08-13,https://place.map.kakao.com/768172634,🥄🥄🥄🥄🥄,,서울 중구 : 을지로,☕카페,"빵, 커피",서울 중구,을지로
한솥도시락 서강대점,2025-08-12,https://place.map.kakao.com/1584071787,🥄🥄,,서울 마포구 : 대흥,🍚한식,도시락,서울 마포구,대흥
엄마애밥상,2025-08-12,https://place.map.kakao.com/980558746,🥄🥄,,서울 마포구 : 마포구청,🍚한식,"덮밥, 도시락",서울 마포구,마포구청
버거리 신촌점,2025-08-11,https://place.map.kakao.com/1556187939,🥄🥄,,서울 서대문구 : 신촌,🍔패스트푸드,햄버거,서울 서대문구,신촌
쎈느,2025-08-10,https://place.map.kakao.com/1783691580,🥄🥄🥄,,서울 성동구 : 성수,☕카페,카페,서울 성동구,성수
호감도,2025-08-10,https://place.map.kakao.com/1362579800,🥄🥄🥄🥄🥄,,서울 성동구 : 성수,🍺술집,일본식주점,서울 성동구,성수
신전떡볶이 신촌점,2025-08-11,https://place.map.kakao.com/545166130,🥄🥄,,서울 서대문구 : 신촌,🍙분식,떡볶이,서울 서대문구,신촌
